filter_name,filter_item,filter_parent_name,filter_parent_item,cbds_code,item_error_flag
education_type,Total,education_type_group,Total,,api-only
education_type,Total,education_type_group,Apprenticeship,,api-only
education_type,Apprenticeship,education_type_group,Apprenticeship,,api-only
education_type,Total,education_type_group,Higher education,,api-only
education_type,Institutional credit in HE providers,education_type_group,Higher education,,api-only
education_type,OfS recognised higher education,education_type_group,Higher education,,api-only
education_type,Other higher level,education_type_group,Higher education,,api-only
education_type_group,Total,qualification_level,Total,,api-only
education_type_group,Apprenticeship,qualification_level,Total,,api-only
education_type_group,Higher education,qualification_level,Total,,api-only
education_type_group,Total,qualification_level,Level 4,,api-only
education_type_group,Apprenticeship,qualification_level,Level 4,,api-only
education_type_group,Higher education,qualification_level,Level 4,,api-only
education_type_group,Total,qualification_level,Level 5,,api-only
education_type_group,Apprenticeship,qualification_level,Level 5,,api-only
education_type_group,Higher education,qualification_level,Level 5,,api-only
education_type_group,Total,qualification_level,Level 6,,api-only
education_type_group,Apprenticeship,qualification_level,Level 6,,api-only
education_type_group,Higher education,qualification_level,Level 6,,api-only
education_type_group,Total,qualification_level,Level 7,,api-only
education_type_group,Apprenticeship,qualification_level,Level 7,,api-only
education_type_group,Higher education,qualification_level,Level 7,,api-only
education_type_group,Total,qualification_level,Level 8,,api-only
education_type_group,Higher education,qualification_level,Level 8,,api-only
ethnicity_minor,Total,ethnicity_major,Total,,any
ethnicity_minor,Total,ethnicity_major,White,,any
ethnicity_minor,English / Welsh / Scottish / Northern Irish / British,ethnicity_major,White,,any
ethnicity_minor,Irish,ethnicity_major,White,,any
ethnicity_minor,Gypsy or Irish Traveller,ethnicity_major,White,,any
ethnicity_minor,Roma,ethnicity_major,White,,any
ethnicity_minor,Any other White background,ethnicity_major,White,,any
ethnicity_minor,Total,ethnicity_major,Mixed / Multiple ethnic groups,,any
ethnicity_minor,White and Black Caribbean,ethnicity_major,Mixed / Multiple ethnic groups,,any
ethnicity_minor,White and Black African,ethnicity_major,Mixed / Multiple ethnic groups,,any
